,#,num_hidden_layers,neurons_per_layer,CANN,embedding_dim,batch_size,epochs,training_loss,testing_loss,bell_dev_data,portfolio_avg,alpha
100,100,3,"(100, 80, 60)",0,3,600000,50,0.30567580461502075,0.29846009612083435,0.4740398,0.003551097094611628,0.1
101,101,3,"(100, 80, 60)",0,3,600000,50,0.29459601640701294,0.28902584314346313,0.43138248,0.005542146640740635,0.1
102,102,3,"(100, 80, 60)",0,3,600000,50,0.2928147614002228,0.28859221935272217,0.42298847,0.006495797279689793,0.1
103,103,3,"(100, 80, 60)",0,3,600000,100,0.2960287630558014,0.2903875708580017,0.427565,0.005780013781377846,0.1
104,104,3,"(100, 80, 60)",0,3,600000,100,0.2960376739501953,0.29030799865722656,0.43269762,0.005437346060059524,0.1
105,105,3,"(100, 80, 60)",0,3,600000,100,0.29517826437950134,0.28904783725738525,0.43218523,0.005468952782337767,0.1
106,106,3,"(100, 80, 60)",0,3,600000,100,0.29580366611480713,0.2900179624557495,0.42397204,0.0059636755040631826,0.1
107,107,3,"(100, 80, 60)",0,3,600000,500,0.3069209158420563,0.2997930645942688,0.4737795,0.0037343783128203937,0.1
108,108,3,"(100, 80, 60)",0,3,600000,500,0.2970316410064697,0.2909242510795593,0.44270265,0.004892727784521608,0.1
109,109,3,"(100, 80, 60)",0,3,600000,500,0.2960357666015625,0.2903066575527191,0.43263814,0.00543689851406284,0.1
110,110,3,"(100, 80, 60)",0,3,600000,500,0.2951751947402954,0.28939536213874817,0.43119135,0.005722065498038902,0.1
111,111,3,"(100, 80, 60)",0,4,10000,50,0.2967017889022827,0.2906865179538727,0.4402962,0.005016918379373946,0.1
112,112,3,"(100, 80, 60)",0,4,10000,50,0.2959393560886383,0.2904225289821625,0.42698833,0.005772085299786262,0.1
113,113,3,"(100, 80, 60)",0,4,10000,50,0.29609933495521545,0.29032620787620544,0.43383068,0.005369026876624908,0.1
114,114,3,"(100, 80, 60)",0,4,10000,50,0.29796919226646423,0.2931126356124878,0.40997073,0.006932254889074553,0.1
115,115,3,"(100, 80, 60)",0,4,10000,100,0.29593130946159363,0.29034969210624695,0.4287197,0.005666971870718672,0.1
116,116,3,"(100, 80, 60)",0,4,10000,100,0.2985397279262543,0.2921372950077057,0.45089105,0.004493968715567498,0.1
117,117,3,"(100, 80, 60)",0,4,10000,100,0.2959342300891876,0.2903391122817993,0.4290341,0.005648116176658001,0.1
118,118,3,"(100, 80, 60)",0,4,10000,100,0.2959531843662262,0.2904665768146515,0.42621115,0.0058199824456063465,0.1
119,119,3,"(100, 80, 60)",0,4,10000,500,0.29602330923080444,0.2906144857406616,0.42418942,0.005946701493903867,0.1
120,120,3,"(100, 80, 60)",0,4,10000,500,0.29666322469711304,0.2915271818637848,0.41710085,0.006416416580707347,0.1
121,121,3,"(100, 80, 60)",0,4,10000,500,0.2962300181388855,0.29094234108924866,0.4210378,0.006150527830535047,0.1
122,122,3,"(100, 80, 60)",0,4,10000,500,0.2963106334209442,0.291057288646698,0.42015064,0.006209329525495488,0.1
123,123,3,"(100, 80, 60)",0,4,100000,50,0.29593971371650696,0.2904265224933624,0.42690745,0.005777048534638782,0.1
124,124,3,"(100, 80, 60)",0,4,100000,50,0.295947790145874,0.29044994711875916,0.42649645,0.005802347945628011,0.1
125,125,3,"(100, 80, 60)",0,4,100000,50,0.2959398329257965,0.290426105260849,0.42691454,0.005776614683931956,0.1
126,126,3,"(100, 80, 60)",0,4,100000,50,0.2959401607513428,0.29042404890060425,0.4269589,0.00577389249775621,0.1
127,127,3,"(100, 80, 60)",0,4,100000,100,0.29594290256500244,0.29043570160865784,0.4267457,0.00578699026896522,0.1
128,128,3,"(100, 80, 60)",0,4,100000,100,0.29593512415885925,0.2904137670993805,0.42715886,0.005761634487182552,0.1
129,129,3,"(100, 80, 60)",0,4,100000,100,0.29593995213508606,0.29042553901672363,0.42692614,0.005775902688338653,0.1
130,130,3,"(100, 80, 60)",0,4,100000,100,0.2959410548210144,0.29043281078338623,0.42679235,0.0057841214502751025,0.1
131,131,3,"(100, 80, 60)",0,4,100000,500,0.29595574736595154,0.290473997592926,0.4260856,0.005827762317635371,0.1
132,132,3,"(100, 80, 60)",0,4,100000,500,0.29594019055366516,0.2904264032840729,0.42691833,0.005776381932933929,0.1
